probability_bucket,n_markets,avg_price,realized_rate,calibration_error,bootstrap_lo95,bootstrap_hi95,brier_score
≤1%,824,0.004581917475728155,0.0,-0.004581917475728155,-0.004750015169902913,-0.004410785800970873,2.7372269417475727e-05
1–2%,372,0.014833333333333336,0.010752688172043012,-0.0040806451612903204,-0.012306686827956988,0.00673797043010753,0.010621374999999999
2–5%,606,0.03369141914191419,0.01485148514851485,-0.018839933993399338,-0.027358312706270628,-0.008758085808580859,0.014956276402640266
5–10%,679,0.07223343151693666,0.03829160530191458,-0.03394182621502209,-0.047313862297496324,-0.018491605301914564,0.03790703276877761
10–20%,567,0.14703703703703705,0.12169312169312169,-0.02534391534391535,-0.05196060405643739,0.0018479717813051123,0.10598064638447971
20–35%,780,0.28449807692307694,0.23333333333333334,-0.051164743589743586,-0.0793168108974359,-0.02234104166666665,0.18135047339743587
35–50%,2058,0.45547133138969875,0.43537414965986393,-0.020097181729834795,-0.04203919460641399,0.0012513119533527732,0.2441660527210884
