underlying,n_markets,avg_price,realized_rate,calibration_error,bootstrap_lo95,bootstrap_hi95
NVDA,857,0.20171586931155192,0.16102683780630106,-0.04068903150525087,-0.06282712952158694,-0.01786204784130688
GOOGL,833,0.23153061224489796,0.18247298919567828,-0.04905762304921969,-0.07278994597839135,-0.025644177671068424
AMZN,779,0.22378562259306806,0.18356867779204109,-0.04021694480102695,-0.06308833440308087,-0.014839922978177147
AAPL,773,0.21535058214747738,0.19016817593790428,-0.025182406209573092,-0.04899932082794307,-0.0011461675291073717
TSLA,587,0.2860025553662692,0.26916524701873934,-0.016837308347529813,-0.04887067717206133,0.01629148211243612
WTI,583,0.22762950257289885,0.241852487135506,0.014222984562607201,-0.01631359348198971,0.042938786449399656
SPY,389,0.17068123393316195,0.16709511568123395,-0.0035861182519280207,-0.03394893958868894,0.027204659383033424
NFLX,336,0.2013080357142857,0.18452380952380953,-0.01678422619047619,-0.05031629464285713,0.01635424107142858
SPX,299,0.3171538461538461,0.34782608695652173,0.030672240802675582,-0.020353428093645484,0.08243846153846154
XAGUSD_SI,228,0.20734649122807017,0.20175438596491227,-0.0055921052631578965,-0.05293240131578946,0.042343311403508804
XAUUSD_GC,222,0.17177927927927927,0.13513513513513514,-0.03664414414414414,-0.07663429054054054,0.00299600225225226
